make_id,created,updated,make
51793,2019.01.14,2019.01.14,RAM
16398,2019.01.14,2019.01.14,Reliant
61,2019.01.14,2019.01.14,Rolls-Royce
62,2019.01.14,2019.01.14,Rover
51536,2019.01.14,2019.01.14,Ruf
63,2019.01.14,2019.01.14,Saab
16369,2019.01.14,2019.01.14,Santana
16405,2019.01.14,2019.01.14,Savel
51771,2019.01.14,2019.01.14,SDG
64,2019.01.14,2019.01.14,SEAT
51800,2019.01.14,2019.01.14,Shuanghuan
65,2019.01.14,2019.01.14,Skoda
15525,2019.01.14,2019.01.14,smart
51538,2019.01.14,2019.01.14,SpeedArt
16377,2019.01.14,2019.01.14,Spyker
66,2019.01.14,2019.01.14,SsangYong
51795,2019.01.14,2019.01.14,StreetScooter
67,2019.01.14,2019.01.14,Subaru
68,2019.01.14,2019.01.14,Suzuki
16395,2019.01.14,2019.01.14,TagAZ
51551,2019.01.14,2019.01.14,Talbot
16404,2019.01.14,2019.01.14,Tasso
16327,2019.01.14,2019.01.14,Tata
51557,2019.01.14,2019.01.14,Tazzari EV
51535,2019.01.14,2019.01.14,TECHART
51520,2019.01.14,2019.01.14,Tesla
16420,2019.01.14,2019.01.14,Town Life
70,2019.01.14,2019.01.14,Toyota
15633,2019.01.14,2019.01.14,Trabant
16326,2019.01.14,2019.01.14,Trailer-Anhänger
2120,2019.01.14,2019.01.14,Triumph
16253,2019.01.14,2019.01.14,Trucks-Lkw
71,2019.01.14,2019.01.14,TVR
16389,2019.01.14,2019.01.14,UAZ
16385,2019.01.14,2019.01.14,VAZ
16422,2019.01.14,2019.01.14,VEM
73,2019.01.14,2019.01.14,Volvo
51514,2019.01.14,2019.01.14,Vortex
51776,2019.01.14,2019.01.14,Wallys
16336,2019.01.14,2019.01.14,Wartburg
51513,2019.01.14,2019.01.14,Westfield
16351,2019.01.14,2019.01.14,Wiesmann
16408,2019.01.14,2019.01.14,Zastava
16394,2019.01.14,2019.01.14,ZAZ
51798,2019.01.14,2019.01.14,Zhidou
16328,2019.01.14,2019.01.14,Egyéb
