model_id,created,updated,model,make_id
1772,2019.01.14,2019.01.14,Windstar,29
2107,2019.01.14,2019.01.14,Tourneo,29
2149,2019.01.14,2019.01.14,Mustang,29
2159,2019.01.14,2019.01.14,Taunus,29
2160,2019.01.14,2019.01.14,Transit,29
2161,2019.01.14,2019.01.14,Thunderbird,29
14803,2019.01.14,2019.01.14,Puma,29
15537,2019.01.14,2019.01.14,Focus,29
15647,2019.01.14,2019.01.14,Cougar,29
15721,2019.01.14,2019.01.14,Courier,29
15860,2019.01.14,2019.01.14,M,29
15861,2019.01.14,2019.01.14,Crown,29
15862,2019.01.14,2019.01.14,Ranger,29
18837,2019.01.14,2019.01.14,Freestyle,29
18633,2019.01.14,2019.01.14,Econovan,29
18703,2019.01.14,2019.01.14,Freestar,29
18761,2019.01.14,2019.01.14,S-Max,29
18708,2019.01.14,2019.01.14,GT,29
18913,2019.01.14,2019.01.14,Edge,29
18589,2019.01.14,2019.01.14,Escape,29
18993,2019.01.14,2019.01.14,Focus CC,29
19072,2019.01.14,2019.01.14,Kuga,29
19089,2019.01.14,2019.01.14,C-Max,29
19260,2019.01.14,2019.01.14,Grand C-Max,29
19262,2019.01.14,2019.01.14,Flex,29
19721,2019.01.14,2019.01.14,B-Max,29
20277,2019.01.14,2019.01.14,Sportka,29
20318,2019.01.14,2019.01.14,Transit Connect,29
20303,2019.01.14,2019.01.14,EcoSport,29
20426,2019.01.14,2019.01.14,Connect Elekto,29
20485,2019.01.14,2019.01.14,F 550,29
20405,2019.01.14,2019.01.14,Tourneo Courier,29
20482,2019.01.14,2019.01.14,F 1,29
20224,2019.01.14,2019.01.14,Torino,29
20225,2019.01.14,2019.01.14,Gran Torino,29
20280,2019.01.14,2019.01.14,Tourneo Connect,29
20483,2019.01.14,2019.01.14,F 100,29
20484,2019.01.14,2019.01.14,F 360,29
20486,2019.01.14,2019.01.14,F 450,29
20487,2019.01.14,2019.01.14,F 650,29
20488,2019.01.14,2019.01.14,F Super Duty,29
75004,2019.01.14,2019.01.14,RS 200,29
75100,2019.01.14,2019.01.14,Consul,29
75102,2019.01.14,2019.01.14,Fairlane,29
75103,2019.01.14,2019.01.14,Falcon,29
21012,2019.01.14,2019.01.14,Others,29
74248,2019.01.14,2019.01.14,Transit Custom,29
74249,2019.01.14,2019.01.14,Transit Courier,29
74250,2019.01.14,2019.01.14,Transit Bus,29
74251,2019.01.14,2019.01.14,Tourneo Custom,29
15942,2019.01.14,2019.01.14,Vito,47
15943,2019.01.14,2019.01.14,Sprinter,47
15944,2019.01.14,2019.01.14,LKW/TRUCKS,47
15955,2019.01.14,2019.01.14,E 260,47
15973,2019.01.14,2019.01.14,C 320,47
15975,2019.01.14,2019.01.14,SLK 320,47
16381,2019.01.14,2019.01.14,SLR,47
16438,2019.01.14,2019.01.14,ML 55 AMG,47
16446,2019.01.14,2019.01.14,SLK 230,47
16481,2019.01.14,2019.01.14,SL 380,47
16482,2019.01.14,2019.01.14,SL 420,47
16483,2019.01.14,2019.01.14,SL 350,47
16484,2019.01.14,2019.01.14,SL 450,47
16485,2019.01.14,2019.01.14,SL 560,47
16488,2019.01.14,2019.01.14,C 270,47
16489,2019.01.14,2019.01.14,S 55 AMG,47
16492,2019.01.14,2019.01.14,CE 200,47
16506,2019.01.14,2019.01.14,CLK 55 AMG,47
16509,2019.01.14,2019.01.14,SLK 32 AMG,47
16555,2019.01.14,2019.01.14,ML 400,47
16556,2019.01.14,2019.01.14,ML 500,47
16575,2019.01.14,2019.01.14,MB 100,47
16576,2019.01.14,2019.01.14,Vaneo,47
16582,2019.01.14,2019.01.14,C 32 AMG,47
18060,2019.01.14,2019.01.14,SL 55 AMG,47
18272,2019.01.14,2019.01.14,Vario,47
18273,2019.01.14,2019.01.14,A 210,47
18288,2019.01.14,2019.01.14,416,47
18292,2019.01.14,2019.01.14,Atego,47
18293,2019.01.14,2019.01.14,Actros,47
18319,2019.01.14,2019.01.14,ML 350,47
18368,2019.01.14,2019.01.14,E 400,47
18371,2019.01.14,2019.01.14,C 30 AMG,47
18394,2019.01.14,2019.01.14,Viano,47
18422,2019.01.14,2019.01.14,C 55 AMG,47
18423,2019.01.14,2019.01.14,CL 55 AMG,47
18424,2019.01.14,2019.01.14,SLK 55 AMG,47
18425,2019.01.14,2019.01.14,G 55 AMG,47
18476,2019.01.14,2019.01.14,E 60 AMG,47
1846,2019.01.14,2019.01.14,190,47
1847,2019.01.14,2019.01.14,200,47
1848,2019.01.14,2019.01.14,230,47
1849,2019.01.14,2019.01.14,240,47
1850,2019.01.14,2019.01.14,250,47
1851,2019.01.14,2019.01.14,260,47
1852,2019.01.14,2019.01.14,280,47
1853,2019.01.14,2019.01.14,300,47
1854,2019.01.14,2019.01.14,320,47
1855,2019.01.14,2019.01.14,380,47
1856,2019.01.14,2019.01.14,400,47
1857,2019.01.14,2019.01.14,500,47
1858,2019.01.14,2019.01.14,600,47
1859,2019.01.14,2019.01.14,C 180,47
1860,2019.01.14,2019.01.14,C 200,47
1861,2019.01.14,2019.01.14,C 230,47
1862,2019.01.14,2019.01.14,E 200,47
1863,2019.01.14,2019.01.14,E 220,47
1864,2019.01.14,2019.01.14,E 280,47
1865,2019.01.14,2019.01.14,E 290,47
1866,2019.01.14,2019.01.14,E 420,47
1867,2019.01.14,2019.01.14,SL 280,47
1868,2019.01.14,2019.01.14,SL 320,47
1869,2019.01.14,2019.01.14,SL 500,47
1870,2019.01.14,2019.01.14,SL 600,47
2099,2019.01.14,2019.01.14,C 280,47
2117,2019.01.14,2019.01.14,E 320,47
2126,2019.01.14,2019.01.14,420,47
2127,2019.01.14,2019.01.14,560,47
2147,2019.01.14,2019.01.14,C 220,47
2162,2019.01.14,2019.01.14,E 500,47
14807,2019.01.14,2019.01.14,C 36 AMG,47
14865,2019.01.14,2019.01.14,450,47
14869,2019.01.14,2019.01.14,A 160,47
14926,2019.01.14,2019.01.14,CLK,47
15029,2019.01.14,2019.01.14,E 230,47
15103,2019.01.14,2019.01.14,S 280,47
15105,2019.01.14,2019.01.14,S 320,47
15107,2019.01.14,2019.01.14,S 420,47
15108,2019.01.14,2019.01.14,S 500,47
15109,2019.01.14,2019.01.14,S 600,47
15199,2019.01.14,2019.01.14,V 230,47
15200,2019.01.14,2019.01.14,V 280,47
15201,2019.01.14,2019.01.14,ML 230,47
15202,2019.01.14,2019.01.14,ML 320,47
15383,2019.01.14,2019.01.14,350,47
15384,2019.01.14,2019.01.14,C 250,47
15517,2019.01.14,2019.01.14,E 240,47
15543,2019.01.14,2019.01.14,E 300,47
15549,2019.01.14,2019.01.14,E 50 AMG,47
15632,2019.01.14,2019.01.14,C 43 AMG,47
15690,2019.01.14,2019.01.14,220,47
15691,2019.01.14,2019.01.14,SL 300,47
15693,2019.01.14,2019.01.14,C 240,47
15694,2019.01.14,2019.01.14,E 36 AMG,47
15695,2019.01.14,2019.01.14,E 250,47
15696,2019.01.14,2019.01.14,S 300,47
15697,2019.01.14,2019.01.14,S 350,47
15698,2019.01.14,2019.01.14,E 430,47
15699,2019.01.14,2019.01.14,E 55 AMG,47
15700,2019.01.14,2019.01.14,V 220,47
15701,2019.01.14,2019.01.14,A 140,47
15702,2019.01.14,2019.01.14,A 170,47
15703,2019.01.14,2019.01.14,A 190,47
15704,2019.01.14,2019.01.14,S 430,47
15705,2019.01.14,2019.01.14,ML 430,47
15715,2019.01.14,2019.01.14,CE 300,47
15723,2019.01.14,2019.01.14,270,47
15724,2019.01.14,2019.01.14,S 560,47
15763,2019.01.14,2019.01.14,E 270,47
15775,2019.01.14,2019.01.14,S 400,47
15866,2019.01.14,2019.01.14,ML 270,47
18505,2019.01.14,2019.01.14,CLS,47
18511,2019.01.14,2019.01.14,CL 420,47
1871,2019.01.14,2019.01.14,SLK,47
15725,2019.01.14,2019.01.14,CL,47
15776,2019.01.14,2019.01.14,G,47
15945,2019.01.14,2019.01.14,V,47
18613,2019.01.14,2019.01.14,C 160,47
18604,2019.01.14,2019.01.14,R 350,47
18636,2019.01.14,2019.01.14,CL 65 AMG,47
18813,2019.01.14,2019.01.14,CLS 55 AMG,47
18814,2019.01.14,2019.01.14,CLS 63 AMG,47
18507,2019.01.14,2019.01.14,CL 180,47
18510,2019.01.14,2019.01.14,CL 230,47
18580,2019.01.14,2019.01.14,S 65 AMG,47
18606,2019.01.14,2019.01.14,B 150,47
18607,2019.01.14,2019.01.14,B 170,47
18608,2019.01.14,2019.01.14,B 180,47
18609,2019.01.14,2019.01.14,B 200,47
18769,2019.01.14,2019.01.14,GL 320,47
18770,2019.01.14,2019.01.14,GL 420,47
18771,2019.01.14,2019.01.14,GL 450,47
18772,2019.01.14,2019.01.14,GL 500,47
18885,2019.01.14,2019.01.14,CLK 270,47
18886,2019.01.14,2019.01.14,CLK 280,47
18895,2019.01.14,2019.01.14,S 450,47
18485,2019.01.14,2019.01.14,A 150,47
18513,2019.01.14,2019.01.14,CL 600,47
18560,2019.01.14,2019.01.14,SLK 200,47
18603,2019.01.14,2019.01.14,R 320,47
18605,2019.01.14,2019.01.14,R 500,47
18801,2019.01.14,2019.01.14,R 280,47
18802,2019.01.14,2019.01.14,R 63 AMG,47
18803,2019.01.14,2019.01.14,ML 420,47
18804,2019.01.14,2019.01.14,E 63 AMG,47
18492,2019.01.14,2019.01.14,SL 65 AMG,47
18509,2019.01.14,2019.01.14,CL 220,47
18753,2019.01.14,2019.01.14,ML 63 AMG,47
18787,2019.01.14,2019.01.14,S 550,47
18879,2019.01.14,2019.01.14,CLK 200,47
18889,2019.01.14,2019.01.14,CLK 350,47
18891,2019.01.14,2019.01.14,CLK 430,47
18546,2019.01.14,2019.01.14,E 350,47
18561,2019.01.14,2019.01.14,SLK 350,47
18562,2019.01.14,2019.01.14,V 200,47
18614,2019.01.14,2019.01.14,C 350,47
18615,2019.01.14,2019.01.14,ML 280,47
18617,2019.01.14,2019.01.14,SLK 280,47
18815,2019.01.14,2019.01.14,CLK 63 AMG,47
18881,2019.01.14,2019.01.14,CLK 220,47
18887,2019.01.14,2019.01.14,CLK 320,47
18892,2019.01.14,2019.01.14,CLK 500,47
18486,2019.01.14,2019.01.14,A 180,47
18487,2019.01.14,2019.01.14,A 200,47
18508,2019.01.14,2019.01.14,CL 200,47
18512,2019.01.14,2019.01.14,CL 500,47
18882,2019.01.14,2019.01.14,CLK 230,47
18883,2019.01.14,2019.01.14,CLK 240,47
18990,2019.01.14,2019.01.14,S 63 AMG,47
18991,2019.01.14,2019.01.14,CL 63 AMG,47
19107,2019.01.14,2019.01.14,C 63 AMG,47
19112,2019.01.14,2019.01.14,CLS 320,47
19113,2019.01.14,2019.01.14,CLS 350,47
19118,2019.01.14,2019.01.14,CLS 500,47
19144,2019.01.14,2019.01.14,CLC,47
19151,2019.01.14,2019.01.14,SL 63 AMG,47
19181,2019.01.14,2019.01.14,GLK 220,47
19182,2019.01.14,2019.01.14,GLK 320,47
19183,2019.01.14,2019.01.14,GLK 350,47
19184,2019.01.14,2019.01.14,GLK 280,47
19223,2019.01.14,2019.01.14,SLS,47
19240,2019.01.14,2019.01.14,B 160,47
19249,2019.01.14,2019.01.14,C 300,47
19251,2019.01.14,2019.01.14,R 300,47
19252,2019.01.14,2019.01.14,GL 350,47
19253,2019.01.14,2019.01.14,GLK 250,47
19254,2019.01.14,2019.01.14,GLK 300,47
19255,2019.01.14,2019.01.14,ML 300,47
19256,2019.01.14,2019.01.14,ML 450,47
19257,2019.01.14,2019.01.14,SLK 300,47
19546,2019.01.14,2019.01.14,SL 60 AMG,47
19547,2019.01.14,2019.01.14,SL 70 AMG,47
19548,2019.01.14,2019.01.14,SL 73 AMG,47
19616,2019.01.14,2019.01.14,GLK 200,47
21093,2019.01.14,2019.01.14,GLE 250,47
21094,2019.01.14,2019.01.14,GLE 500,47
19726,2019.01.14,2019.01.14,S 250,47
19727,2019.01.14,2019.01.14,S 260,47
19747,2019.01.14,2019.01.14,ML 250,47
19748,2019.01.14,2019.01.14,SLK 250,47
74964,2019.01.14,2019.01.14,CLS 450,47
74965,2019.01.14,2019.01.14,E 53 AMG,47
20185,2019.01.14,2019.01.14,B 220,47
20215,2019.01.14,2019.01.14,G 350,47
20216,2019.01.14,2019.01.14,G 500,47
20217,2019.01.14,2019.01.14,SL 230,47
20229,2019.01.14,2019.01.14,CLA 180,47
20230,2019.01.14,2019.01.14,CLA 200,47
20231,2019.01.14,2019.01.14,CLA 220,47
20232,2019.01.14,2019.01.14,CLA 250,47
20240,2019.01.14,2019.01.14,CE 220,47
20241,2019.01.14,2019.01.14,CE 230,47
20242,2019.01.14,2019.01.14,CE 280,47
20243,2019.01.14,2019.01.14,CL 160,47
20244,2019.01.14,2019.01.14,CLS 250,47
20245,2019.01.14,2019.01.14,G 230,47
20246,2019.01.14,2019.01.14,G 240,47
20247,2019.01.14,2019.01.14,G 250,47
20248,2019.01.14,2019.01.14,G 280,47
20249,2019.01.14,2019.01.14,G 290,47
20250,2019.01.14,2019.01.14,G 320,47
20251,2019.01.14,2019.01.14,G 400,47
20252,2019.01.14,2019.01.14,GL 55 AMG,47
20253,2019.01.14,2019.01.14,GL 63 AMG,47
20255,2019.01.14,2019.01.14,A 45 AMG,47
20389,2019.01.14,2019.01.14,SL 400,47
20400,2019.01.14,2019.01.14,170,47
20443,2019.01.14,2019.01.14,T1,47
20195,2019.01.14,2019.01.14,Citan,47
20301,2019.01.14,2019.01.14,CLA 45 AMG,47
20384,2019.01.14,2019.01.14,CLS 300,47
20444,2019.01.14,2019.01.14,T2,47
20165,2019.01.14,2019.01.14,A 250,47
20166,2019.01.14,2019.01.14,B 250,47
20167,2019.01.14,2019.01.14,G 63 AMG,47
20168,2019.01.14,2019.01.14,G 65 AMG,47
20169,2019.01.14,2019.01.14,G 300,47
20176,2019.01.14,2019.01.14,E 550,47
20388,2019.01.14,2019.01.14,GLA 45 AMG,47
20401,2019.01.14,2019.01.14,180,47
20492,2019.01.14,2019.01.14,GLA 180,47
20601,2019.01.14,2019.01.14,CLS 220,47
75191,2019.01.14,2019.01.14,E 450,47
20218,2019.01.14,2019.01.14,A 220,47
75192,2019.01.14,2019.01.14,CLS 53 AMG,47
75193,2019.01.14,2019.01.14,X 350,47
20325,2019.01.14,2019.01.14,G 270,47
20343,2019.01.14,2019.01.14,GLA 200,47
20344,2019.01.14,2019.01.14,GLA 220,47
20345,2019.01.14,2019.01.14,GLA 250,47
20383,2019.01.14,2019.01.14,CLS 280,47
20391,2019.01.14,2019.01.14,SL 250,47
20627,2019.01.14,2019.01.14,B Electric Drive,47
20636,2019.01.14,2019.01.14,AMG GT,47
20637,2019.01.14,2019.01.14,V 250,47
20918,2019.01.14,2019.01.14,C 450,47
20916,2019.01.14,2019.01.14,C 400,47
20920,2019.01.14,2019.01.14,GLE 350,47
20921,2019.01.14,2019.01.14,GLE 400,47
20922,2019.01.14,2019.01.14,GLE 450,47
20923,2019.01.14,2019.01.14,GLE 63 AMG,47
74548,2019.01.14,2019.01.14,Marco Polo,47
74629,2019.01.14,2019.01.14,GLC 63 AMG,47
74630,2019.01.14,2019.01.14,S 650,47
75110,2019.01.14,2019.01.14,SLC 280,47
74389,2019.01.14,2019.01.14,GLC 43 AMG,47
74390,2019.01.14,2019.01.14,GLC 350,47
74391,2019.01.14,2019.01.14,GLE 43 AMG,47
74254,2019.01.14,2019.01.14,GLS 350,47
74255,2019.01.14,2019.01.14,GLS 400,47
74256,2019.01.14,2019.01.14,GLS 500,47
74257,2019.01.14,2019.01.14,GLS 63 AMG,47
74258,2019.01.14,2019.01.14,SLC 180,47
74259,2019.01.14,2019.01.14,SLC 200,47
74260,2019.01.14,2019.01.14,SLC 250,47
74261,2019.01.14,2019.01.14,SLC 300,47
74262,2019.01.14,2019.01.14,SLC 43 AMG,47
74551,2019.01.14,2019.01.14,GLC 300,47
20924,2019.01.14,2019.01.14,GL 400,47
20926,2019.01.14,2019.01.14,CLS 400,47
20927,2019.01.14,2019.01.14,208,47
20928,2019.01.14,2019.01.14,210/310,47
20930,2019.01.14,2019.01.14,Others,47
21086,2019.01.14,2019.01.14,GLC 220,47
21087,2019.01.14,2019.01.14,GLC 250,47
74334,2019.01.14,2019.01.14,308,47
74457,2019.01.14,2019.01.14,E 43 AMG,47
74574,2019.01.14,2019.01.14,G 650,47
75201,2019.01.14,2019.01.14,A 35 AMG,47
74743,2019.01.14,2019.01.14,X 220,47
74744,2019.01.14,2019.01.14,X 250,47
16417,2019.01.14,2019.01.14,Agila,54
16447,2019.01.14,2019.01.14,Speedster,54
16604,2019.01.14,2019.01.14,GT,54
16612,2019.01.14,2019.01.14,Vivaro,54
18080,2019.01.14,2019.01.14,Pick Up Sportscap,54
18341,2019.01.14,2019.01.14,Meriva,54
18345,2019.01.14,2019.01.14,Signum,54
1915,2019.01.14,2019.01.14,Ascona,54
1916,2019.01.14,2019.01.14,Astra,54
1917,2019.01.14,2019.01.14,Calibra,54
1918,2019.01.14,2019.01.14,Corsa,54
1919,2019.01.14,2019.01.14,Frontera,54
1920,2019.01.14,2019.01.14,Kadett,54
1921,2019.01.14,2019.01.14,Manta,54
1922,2019.01.14,2019.01.14,Monterey,54
1923,2019.01.14,2019.01.14,Monza,54
1924,2019.01.14,2019.01.14,Omega,54
1926,2019.01.14,2019.01.14,Rekord,54
1927,2019.01.14,2019.01.14,Senator,54
1929,2019.01.14,2019.01.14,Sintra,54
1930,2019.01.14,2019.01.14,Tigra,54
1931,2019.01.14,2019.01.14,Vectra,54
2158,2019.01.14,2019.01.14,Diplomat,54
14825,2019.01.14,2019.01.14,Combo,54
14854,2019.01.14,2019.01.14,Commodore,54
15660,2019.01.14,2019.01.14,Zafira,54
15740,2019.01.14,2019.01.14,Arena,54
15852,2019.01.14,2019.01.14,Campo,54
15870,2019.01.14,2019.01.14,Movano,54
18827,2019.01.14,2019.01.14,Antara,54
19101,2019.01.14,2019.01.14,Insignia,54
19749,2019.01.14,2019.01.14,Ampera,54
20191,2019.01.14,2019.01.14,Adam,54
20381,2019.01.14,2019.01.14,Zafira Tourer,54
20148,2019.01.14,2019.01.14,Mokka,54
20221,2019.01.14,2019.01.14,Cascada,54
20639,2019.01.14,2019.01.14,Karl,54
20960,2019.01.14,2019.01.14,Others,54
74627,2019.01.14,2019.01.14,Grandland X,54
74532,2019.01.14,2019.01.14,Crossland X,54
16505,2019.01.14,2019.01.14,Grand Espace,60
16616,2019.01.14,2019.01.14,Avantime,60
16617,2019.01.14,2019.01.14,Vel Satis,60
18100,2019.01.14,2019.01.14,P 1400,60
18277,2019.01.14,2019.01.14,Mascott,60
18337,2019.01.14,2019.01.14,R 6,60
1958,2019.01.14,2019.01.14,Alpine A310,60
1959,2019.01.14,2019.01.14,Alpine A610,60
1960,2019.01.14,2019.01.14,Alpine V6,60
1961,2019.01.14,2019.01.14,Clio,60
1962,2019.01.14,2019.01.14,Espace,60
1963,2019.01.14,2019.01.14,Fuego,60
1964,2019.01.14,2019.01.14,Laguna,60
1965,2019.01.14,2019.01.14,Megane,60
1966,2019.01.14,2019.01.14,R 11,60
1967,2019.01.14,2019.01.14,R 14,60
1968,2019.01.14,2019.01.14,R 18,60
1969,2019.01.14,2019.01.14,R 19,60
1970,2019.01.14,2019.01.14,R 20,60
1971,2019.01.14,2019.01.14,R 21,60
1972,2019.01.14,2019.01.14,R 25,60
1973,2019.01.14,2019.01.14,R 30,60
1974,2019.01.14,2019.01.14,R 4,60
1975,2019.01.14,2019.01.14,R 5,60
1976,2019.01.14,2019.01.14,R 9,60
1977,2019.01.14,2019.01.14,Safrane,60
1978,2019.01.14,2019.01.14,Super 5,60
1979,2019.01.14,2019.01.14,Twingo,60
2096,2019.01.14,2019.01.14,Trafic,60
2133,2019.01.14,2019.01.14,Express,60
14717,2019.01.14,2019.01.14,Master,60
14786,2019.01.14,2019.01.14,Scenic,60
14830,2019.01.14,2019.01.14,Coupe,60
