model_id;model;make_id;make
74;Volkswagen;20360;T3 Kombi
74;Volkswagen;21179;Coccinelle
74;Volkswagen;21180;Escarabajo
74;Volkswagen;74550;Arteon
74;Volkswagen;21034;Others
74;Volkswagen;74667;T-Roc
74;Volkswagen;74938;Atlas
74;Volkswagen;74939;Kever
51539;9ff;20567;GTurbo
51539;9ff;20284;Others
51539;9ff;20570;Speed9
51539;9ff;20571;F70 Etronic
51539;9ff;20568;GTronic
51539;9ff;20569;GT9
51539;9ff;20977;F97 A-Max
16396;Abarth;19688;500
16396;Abarth;19689;500C
16396;Abarth;19690;695
16396;Abarth;19691;Grande Punto
16396;Abarth;19692;Punto EVO
16396;Abarth;20258;595 Turismo
16396;Abarth;20387;595C
16396;Abarth;20323;595 Competizione
16396;Abarth;20386;695C
16396;Abarth;20956;Punto Supersport
16396;Abarth;20957;Others
16396;Abarth;21170;595
16396;Abarth;74336;124 Spider
14979;AC;14984;Cobra
14979;AC;19550;Ace
14979;AC;21037;Others
16429;ACM;21192;4 WD
16429;ACM;21193;Biagini Passo
16429;ACM;21194;Others
16356;Acura;18446;RL
16356;Acura;18447;TL
16356;Acura;18448;TSX
16356;Acura;18449;RSX
16356;Acura;18450;NSX
16356;Acura;18451;MDX
16356;Acura;20042;RDX
16356;Acura;20043;ZDX
16356;Acura;21054;Others
16356;Acura;74681;ILX
16356;Acura;74682;TLX
16356;Acura;74683;RLX
16352;Aixam;18334;400
16352;Aixam;18335;500
16352;Aixam;18336;Mac
16352;Aixam;18582;A.
16352;Aixam;18649;Mega
16352;Aixam;19164;City
16352;Aixam;19165;Roadline
16352;Aixam;19166;Crossline
16352;Aixam;19167;Scouty R
16352;Aixam;19736;Others
16352;Aixam;20206;Coupe
16352;Aixam;20207;GTI
16352;Aixam;20208;GTO
16352;Aixam;20209;Crossover
16352;Aixam;75083;D-truck
6;Alfa Romeo;16421;147
6;Alfa Romeo;16628;RZ
6;Alfa Romeo;18412;GT
6;Alfa Romeo;1600;33
6;Alfa Romeo;1601;145
6;Alfa Romeo;1602;146
6;Alfa Romeo;1603;155
6;Alfa Romeo;1604;164
6;Alfa Romeo;1606;75
6;Alfa Romeo;1607;90
6;Alfa Romeo;1608;Alfasud
6;Alfa Romeo;1609;Alfetta
6;Alfa Romeo;1611;Giulietta
6;Alfa Romeo;1612;GTV
6;Alfa Romeo;1614;Spider
6;Alfa Romeo;15117;156
6;Alfa Romeo;15636;166
6;Alfa Romeo;18581;Brera
6;Alfa Romeo;18907;Sportwagon
6;Alfa Romeo;18631;Sprint
6;Alfa Romeo;18553;Giulia
6;Alfa Romeo;18681;159
6;Alfa Romeo;19125;8C
6;Alfa Romeo;19161;MiTo
6;Alfa Romeo;19179;Crosswagon
6;Alfa Romeo;20291;4C
6;Alfa Romeo;20772;Alfa 6
6;Alfa Romeo;20276;SZ
6;Alfa Romeo;74543;Stelvio
6;Alfa Romeo;75096;Montreal
6;Alfa Romeo;74730;Quadrifoglio
6;Alfa Romeo;20940;1750
6;Alfa Romeo;20941;2000
6;Alfa Romeo;20942;Others
14;Alpina;16435;D10
14;Alpina;18346;B7
14;Alpina;15130;B3
14;Alpina;15131;B10
14;Alpina;15132;B12
14;Alpina;15682;B6
14;Alpina;15711;B8
14;Alpina;18601;B5
14;Alpina;18544;Roadster S
14;Alpina;18717;D3
14;Alpina;19160;B11
14;Alpina;19786;Others
14;Alpina;20129;D5
14;Alpina;20490;D4
14;Alpina;20510;B4
14;Alpina;20517;B9
14;Alpina;20528;Roadster Limited Edition
14;Alpina;20529;Roadster V8
14;Alpina;20489;XD3
14;Alpina;75097;XD4
14;Alpina;21172;C1
14;Alpina;21173;C2
51796;Alpine;74991;A110
51796;Alpine;74992;Others
51545;Amphicar;20480;770
51545;Amphicar;20378;Others
16419;Ariel Motor;21120;Atom
16419;Ariel Motor;21121;Nomad
16419;Ariel Motor;21122;Others
16427;Artega;75047;Karo
16427;Artega;21185;GT
16427;Artega;21186;Scalo
16427;Artega;21187;Others
16431;Aspid;21200;GT-21
16431;Aspid;21201;SS
16431;Aspid;21202;Others
8;Aston Martin;16382;DB
8;Aston Martin;18261;Vanquish
